"choose_role", "選擇{characterName}的交際獎勵："
"tutorial_enterrestaurant_desc_step2", "開始烹飪！"
"tutorial_enterrestaurant_desc_step3", "將你的食譜加入烹飪書，再試試別的菜色。"
"tutorial_gardeningtutorial_desc_step1", "種植"
"tutorial_gardeningtutorial_desc_step2", "給它澆水，不然它會枯萎！"
"tutorial_gardeningtutorial_desc_step3", "等成熟了再去採摘。 "
"character_detail_unlock_profession", "達到2級解鎖聚會獎勵。"
"locked_realm_character_unlock", "解鎖王國：{name}"
"locked_region_character_counter", "角色<br>{current} / {needed}"
"locked_region_character_desc", "解鎖<br>{character}角色"
"locked_region_character_unlock", "解鎖{name}"
"locked_region_current_level", "你的<br>等級為{level}"
"locked_region_level_desc", "升到<br>{level}級"
"locked_region_title", "未解鎖區域"
"not_enough_space_around_well", "許願井周圍沒有足夠的空間。"
"realm_ask_unlock", "你想進入這個王國嗎？"
"realm_locked_message_default", "新王國即將上線！"
"realm_locked_title", "未解鎖王國"
"village_area_ask_unlock", "要開啟這個區域嗎？"
"village_area_character_count_condition", "至少要有{unlockCharacterCount}名村民才能探索這個區域。"
"village_area_player_level_condition", "達到{unlockPlayerLevel}級可開啟這個區域。"
"new_item", "新物品"
"Opacity", "透明度"
"rarity_filter_display_name", "{stars}星星"
"wardrobe_appearance", "自定義"
"wardrobe_category_arms", "手臂"
"wardrobe_category_back", "返回"
"wardrobe_category_bracelet", "手鍊"
"wardrobe_category_coat", "外套"
"wardrobe_category_costume", "全身"
"wardrobe_category_dress", "裙子"
"wardrobe_category_earrings", "耳環"
"wardrobe_category_full_body", "全身"
"wardrobe_category_glasses", "眼鏡"
"wardrobe_category_gloves", "手套"
"wardrobe_category_hat", "帽子"
"wardrobe_category_head", "頭"
"wardrobe_category_hose_socks", "襪子"
"wardrobe_category_legs", "腿"
"wardrobe_category_mask", "面具"
"wardrobe_category_neck_wear", "頸飾"
"wardrobe_category_pants", "褲子"
"wardrobe_category_shoes", "鞋"
"wardrobe_category_shorts", "短褲"
"wardrobe_category_skirt", "襯衣"
"wardrobe_category_top", "頭部"
"wardrobe_category_torso", "身體"
"wardrobe_category_wig", "假髮"
"wardrobe_dye", "染料"
"wardrobe_exit_title", "離開衣櫥"
"wardrobe_filter_apply", "應用"
"wardrobe_filter_dominantcolor", "顏色"
"wardrobe_filter_rarity", "稀有度"
"wardrobe_filter_reset", "重置"
"wardrobe_filter_style", "風格"
"wardrobe_filter_trait", "特質"
"wardrobe_filter_universe", "系列"
"wardrobe_filter_zone", "房間"
"wardrobe_gender", "性別"
"wardrobe_item_unlock_title", "新服裝解鎖"
"wardrobe_pet_assign", "指派"
"wardrobe_pets", "同伴"
