"Alexandrite_Description", "可開採的變色礦石。"
"Recipe_Description", "寫著食譜的書。使用之後可以學會一個食譜。"
"Recipe_DisplayName", "食譜書"
"RedFruitPie_Description", "以紅色水果為餡的熱餡餅。"
"RedFruitPie_DisplayName", "紅色水果派"
"RedFruitSorbet_Description", "用紅色水果做成的清爽冰甜點。"
"RedFruitSorbet_DisplayName", "紅色水果雪酪"
"RefinedNightShard_Small_Description", "送給朋友的稀有禮物。"
"Refinement!Brick_DisplayName", "磚塊"
"Refinement!EmptyVial_Description", "可以用來裝東西的小玻璃瓶。"
"Refinement!EmptyVial_DisplayName", "空瓶子"
"Refinement!Fabric_DisplayName", "布料"
"Refinement!Fiber_DisplayName", "纖維"
"Refinement!Glass_DisplayName", "玻璃"
"Refinement!GoldIngot_DisplayName", "金塊"
"Refinement!IronIngot_DisplayName", "鐵塊"
"Refinement!Rope_Description", "結實的繩子，可以用來綁東西。"
"Refinement!Rope_DisplayName", "繩子"
"Requests!Village!VLG_Eric_020_FishOil_Description", "呃，好難聞。"
"RisingPenstemon!RisingPenstemonGreen_Description", "盛開時直立的綠色野花。"
"RisingPenstemon!RisingPenstemonGreen_DisplayName", "綠色直立釣鐘柳"
"RisingPenstemon!RisingPenstemonPurple_Description", "盛開時直立的紫色野花。"
"RisingPenstemon!RisingPenstemonPurple_DisplayName", "紫色直立釣鐘柳"
"RisottoFish_Description", "加了魚肉的濃厚奶油米飯。"
"RisottoFish_DisplayName", "意大利魚肉燴飯"
"RoastedAsparagus_Description", "用烤箱烤出來的，加了些許鹽。"
"RoastedAsparagus_DisplayName", "烤蘆筍"
"Ruby_Description", "可開採的深紅色寶石。"
"Ruby_DisplayName", "紅寶石"
"Ruby_Shiny_Description", "可開採的深紅色稀有寶石。"
"Ruby_Shiny_DisplayName", "閃亮紅寶石"
"SakeMaki_Description", "裹了米飯和海藻的鮭魚。"
"SakeMaki_DisplayName", "鮭魚捲"
"SakeSushi_Description", "放了薄鮭魚片的熟米飯。"
"SakeSushi_DisplayName", "鮭魚壽司"
"Salad_Description", "簡單又健康的沙拉。"
"Salad_DisplayName", "沙拉"
"SaladRanch_Description", "帶有豐富調料的簡單沙拉。"
"Salmon_Description", "一種普通的魚類，幾乎隨處可見！"
"Salmon_DisplayName", "鮭魚"
"SalmonDish_Description", "用甜醬醃製的新鮮鮭魚。"
"Sand_Description", "建造沙堡的重要物品。"
"Saphire_Description", "可開採的藍色寶石。"
"Saphire_DisplayName", "藍寶石"
"Saphire_Shiny_Description", "可開採的稀有藍色寶石。"
"Saphire_Shiny_DisplayName", "閃亮藍寶石"
"SauteedMushrooms_Description", "用油燉煮的鮮采蘑菇。"
"SauteedMushrooms_DisplayName", "燉蘑菇"
"SavoryFish_Description", "一道適合特殊場合的美味魚料理。"
"SavoryFish_DisplayName", "開胃魚"
"Scallop_Description", "能在炫麗海灘找到。快去找吧！"
"Scallop_DisplayName", "扇貝"
"ScrambledEgg_Description", "一道幾乎各種場合都適合的美食。"
"ScrambledEgg_DisplayName", "炒蛋"
"SeafoodAppetizer_Description", "一道美味的海鮮小食。"
"SeafoodAppetizer_DisplayName", "海鮮小食"
"SeafoodPasta_Description", "海鮮與薄意大利麵佐以清淡醬汁。"
"SeafoodPasta_DisplayName", "海鮮意大利麵"
"SeafoodPie_Description", "用蝦和扇貝做餡料的美味派餅。"
"SeafoodPie_DisplayName", "海鮮派"
"SeafoodPlatter_Description", "精選海鮮拼盤。"
"SeafoodPlatter_DisplayName", "海鮮拼盤"
"SeafoodSalad_Description", "綠葉蔬菜配以番茄和新鮮海鮮。"
"SeafoodSalad_DisplayName", "海鮮沙拉"
"SeafoodSoup_Description", "一碗熱騰騰的海鮮湯。"
"SeafoodSoup_DisplayName", "海鮮湯"
"SearedRainbowTrout_DisplayName", "烤虹鱒"
"SeaWeed_Description", "一種海洋中的藻類。"
"SeaWeed_DisplayName", "海藻"
"Secret!Goofy!SEC_Goof_010_Paddle_DisplayName", "神秘船槳"
"Secret!Mickey!Sec_Goof_010_Description", "你在炫麗海灘的木筏旁邊找到的神秘船槳。"
"Secret!Mickey!Sec_Goof_010_RaftRepair_Description", "這套工具可以用來修理海灘上的木筏殘骸。"
"Secret!Mickey!SEC_Goof_010_RaftRepair_DisplayName", "修船工具"
"Secret!Mickey!VLG_Mick_050_Book01_Description", "一本書……唔？有意思。"
"Secret!Mickey!VLG_Mick_050_Book01_DisplayName", "出色書籍"
"Shake_Description", "牛奶和冰淇淋混合製成的甜味飲品。"
"Shake_DisplayName", "奶昔"
"Shrimp_Description", "吃海底食物的甲殼類動物。"
"Shrimp_DisplayName", "蝦"
"SimpleFriedPerch_DisplayName", "簡易炸鱸魚"
"SmokedPeanutsAnglerFish_DisplayName", "煙燻花生烤鮟鱇魚"
"Snow_Description", "不管你怎麼做，都要克服扔掉它的衝動。"
"SnowCone_Description", "浸泡在美味水果糖漿中的冰沙。"
"SoftWood_Description", "一堆軟木材，等著變成別的東西。"
"Soil_Description", "一堆適合用於園藝的土壤。"
"Sole_Description", "形狀像舌頭的比目魚！"
"Sole_DisplayName", "鰨魚"
"SoleMeuniere_DisplayName", "奶油炸鰨魚"
"Souffle_Description", "一道口味豐富的美味菜餚。"
"Souffle_DisplayName", "舒芙蕾"
"SourSnowCones_DisplayName", "酸味雪糕筒"
"SpaghettiArrabiata_DisplayName", "番茄辣椒醬汁意麵"
"SpaghettiMeatball_Description", "鹹味的番茄醬汁意大利麵。"
"Spice!Basil_Description", "一種在星谷野外各處生長的草本植物。"
"Spice!Basil_DisplayName", "羅勒"
"Spice!Garlic_Description", "一種在星谷野外各處生長的植物。"
"Spice!Garlic_DisplayName", "大蒜"
"Spice!Ginger_Description", "一種在星谷野外各處生長的植物。"
"Spice!Ginger_DisplayName", "薑"
"Spice!Mint_Description", "一種在星谷野外各處生長的草本植物。"
"Spice!Mint_DisplayName", "薄荷"
"Spice!Oregano_Description", "一種在星谷野外各處生長的草本植物。"
"Spice!Oregano_DisplayName", "奧勒岡"
"Spice!Vanilla_Description", "一種在星谷野外各處生長的香料。"
"Spice!Vanilla_DisplayName", "香草"
"SpicyBakedBream_DisplayName", "辣烤鳊魚"
"SpinashPuff_Description", "塞了菠菜的小酥皮點心。"
"SpinashPuff_DisplayName", "高剛的菠菜捲"
"Squid_Description", "它們以大腦袋和八條腿為標誌。"
"Squid_DisplayName", "烏賊"
"StarLily!StarLilyBlue_Description", "在白色鱗莖上盛開的藍色花朵。"
"StarLily!StarLilyBlue_DisplayName", "藍星百合"
"StarLily!StarLilyOrange_Description", "星星形狀的淺橘色花朵。"
"StarLily!StarLilyOrange_DisplayName", "橘星百合"
"SteamedFugu_DisplayName", "蒸河豚"
"Stone_Description", "想像力能讓石頭也變為藝術。"
"Story!Beach!MRQS070_AtlantianCrystal_DisplayName", "水晶鑰匙"
"Story!Goofy!MRQS040_GoofyFishingRod_DisplayName", "壞掉的魚竿"
"Story!Mickey!Goof_010_FishingRod_Description", "線軸卡住了！它的主人應該能修好它。"
"Story!Swamp!MRQS080_DarkForestPlant_DisplayName", "邪惡草藥"
"Story!Swamp!MRQS080_DonaldFeather_DisplayName", "唐老鴨的羽毛"
"Story!Swamp!MRQS080_DonaldFeatherEnchanted_DisplayName", "魔法羽毛"
"StrawberryPie_Description", "甜甜的草莓派。"
"StrawberryPie_DisplayName", "草莓派"
"Sunflower!SunflowerYellow_Description", "高大的黃色花卉，它的種子是美食。"
"Sunflower!SunflowerYellow_DisplayName", "向日葵"
"Sushi_Description", "米飯搭配新鮮生魚。"
"Sushi_DisplayName", "壽司"
"SweetSlush_Description", "適合夏天的藍色清爽甜點。"
"SweetSlush_DisplayName", "甜味冰沙"
"SweetSourKingfishSteak_DisplayName", "酸甜鯖王魚排"
"Swordfish_Description", "這種魚長得著實有些「尖銳」呢。"
"Swordfish_DisplayName", "劍魚"
"TallCake_Description", "層層堆疊的蛋糕，一層又一層……"
"TallCake_DisplayName", "愛洛的蛋糕"
"Tamagoyaki_Description", "小火煎制的鬆軟雞蛋捲！"
"Tamagoyaki_DisplayName", "玉子燒"
"TastySalad_Description", "一道直擊人心的美味沙拉。"
"TastySalad_DisplayName", "美味沙拉"
"TastyVeggies_Description", "美味的鮮摘蔬菜。"
"TastyVeggies_DisplayName", "美味蔬菜"
"TekkaMaki_Description", "小巧的壽司捲，適合外出時攜帶。"
"TekkaMaki_DisplayName", "鐵火捲"
"TeriyakiSalmon_DisplayName", "照燒鮭魚"
"Tilapia_Description", "一種在水淺的河流中很常見的魚。"
"Tilapia_DisplayName", "羅非魚"
"TinkeringParts_Description", "各種各樣在製作東西時會用上的零件。"
"TinkeringParts_DisplayName", "鑄補零件"
"Tokens!Courage_Description", "由勇氣之力驅動的魔法寶物。"
"Tokens!Courage_DisplayName", "勇氣寶珠"
"Tokens!Friendship_Description", "由友誼之力驅動的魔法寶物。"
"Tokens!Friendship_DisplayName", "友誼寶珠"
"Tokens!Love_Description", "由愛與無私的力量驅動的魔法寶物。"
"Tokens!Love_DisplayName", "真愛寶珠"
"Tokens!Nurturing_Description", "由培養和關懷之力驅動的魔法寶物。"
"Tokens!Nurturing_DisplayName", "培育寶珠"
"Tokens!Power_Description", "由力量、天賦和技能之力驅動的魔法寶物。"
"Tokens!Power_DisplayName", "力量寶珠"
"Tokens!Remembrance_Description", "一件魔法寶物，對夢幻星谷過去的緬懷為這件寶物灌注了能量。"
"Tokens!Remembrance_DisplayName", "回憶寶珠"
"Tokens!Trust_Description", "由信仰、希望和信念之力驅動的魔法寶物。"
"Tokens!Trust_DisplayName", "信仰寶珠"
"Tokens!Unity_Description", "由團結的力量驅動的魔法寶物。"
"Tokens!Unity_DisplayName", "團結寶珠"
"TomatoSoup_Description", "適合寒冷天氣時享用的香滑濃湯。"
"TomatoSoup_DisplayName", "番茄湯"
"Topaze_Description", "可開採的橘色礦石。"
"Topaze_DisplayName", "黃晶"
"Topaze_Shiny_Description", "可開採的稀有橘色礦石。"
"Topaze_Shiny_DisplayName", "閃亮黃晶"
"Tourmaline_Description", "可開採的水晶。"
"Tourmaline_DisplayName", "電氣石"
"Tourmaline_Shiny_Description", "可開採的稀有水晶。"
"Tourmaline_Shiny_DisplayName", "閃亮電氣石"
"TropicalPop_Description", "讓人神清氣爽的冰涼甜品。"
"TropicalPop_DisplayName", "熱帶冰棒"
"Tuna_Description", "一種棲息在海洋中的大型魚類。"
"Tuna_DisplayName", "鮪魚"
"TunaBurger_DisplayName", "鮪魚漢堡"
"VanillaIceCream_Description", "夏日的絕美零食。"
"VanillaIceCream_DisplayName", "香草冰淇淋"
"Vegetable!Asparagus_Description", "你可以自己種植的蔬菜！"
"Vegetable!Asparagus_DisplayName", "蘆筍"
"Vegetable!BellPepper_Description", "一種微甜的蔬菜，你可以自己種植！"
"Vegetable!BellPepper_DisplayName", "燈籠椒"
"Vegetable!Carrot_Description", "你可以自己種植的高產作物！"
"Vegetable!Carrot_DisplayName", "胡蘿蔔"
"Vegetable!ChiliPepper_Description", "你可以自己種植的辣味蔬菜！"
"Vegetable!ChiliPepper_DisplayName", "紅辣椒"
"Vegetable!Cucumber_Description", "你可以自己種植的清涼蔬菜！"
"Vegetable!Cucumber_DisplayName", "黃瓜"
"Vegetable!EggPlant_Description", "你可以自己種植的紫色蔬菜！"
"Vegetable!EggPlant_DisplayName", "茄子"
"Vegetable!Leek_Description", "你可以自己種植的野洋蔥！"
"Vegetable!Leek_DisplayName", "韭蔥"
"Vegetable!Lettuce_Description", "一種你可以自己種植的綠葉蔬菜！"
"Vegetable!Lettuce_DisplayName", "生菜"
"Vegetable!Mushroom_Description", "一種生長在沼澤的菌類。"
"Vegetable!Mushroom_DisplayName", "蘑菇"
"Vegetable!Okra_Description", "一種你可以自己種植的綠色植物！"
"Vegetable!Okra_DisplayName", "秋葵"
"Vegetable!Onion_Description", "你可以自己種植的高產作物！"
"Vegetable!Onion_DisplayName", "洋蔥"
"Vegetable!Potato_Description", "一種你可以自己種植的作物！"
"Vegetable!Potato_DisplayName", "馬鈴薯"
"Vegetable!Pumpkin_Description", "一種你可以自己種植的橙色瓜！"
"Vegetable!Pumpkin_DisplayName", "南瓜"
"Vegetable!Spinach_Description", "一種你可以自己種植的綠色蔬菜！"
"Vegetable!Spinach_DisplayName", "菠菜"
"Vegetable!Tomato_Description", "一種你可以自己種植的多汁蔬菜！"
"Vegetable!Tomato_DisplayName", "番茄"
"Vegetable!Zuccini_Description", "一種你可以自己種植的夏季瓜！"
"Vegetable!Zuccini_DisplayName", "櫛瓜"
"VegetarianPizza_Description", "上面撒滿蔬菜的披薩。"
"VegetarianPizza_DisplayName", "素食披薩"
"VegetarianStew_Description", "滿是蔬菜的濃湯。"
"VegetarianStew_DisplayName", "素食燉"
"VegetarianTaco_Description", "玉米餅配各種烤蔬菜。"
"VegetarianTaco_DisplayName", "蔬菜捲餅"
"VeggieCasserole_Description", "煮得恰到好處的美味蔬菜。"
"VeggieCasserole_DisplayName", "素砂鍋菜"
"VeggiePasta_Description", "搭配清淡醬汁的蔬菜意大利麵。"
"VeggiePasta_DisplayName", "蔬菜意大利麵"
"VeggiePie_Description", "用蔬菜做成的可口熱餅。"
"VeggiePie_DisplayName", "蔬菜餅"
"VeggieSkewers_Description", "用竹籤串起來的烤蔬菜。"
"VeggieSkewers_DisplayName", "蔬菜串"
"VeggieSoup_Description", "用各種蔬菜做成的美味湯。"
"VeggieSoup_DisplayName", "蔬菜湯"
"Village!Anna!VLG_Anna_010_Letter_DisplayName", "安娜的信"
"Village!Anna!VLG_Anna_010_Tome_DisplayName", "神秘動植物"
"Village!Anna!VLG_Anna_020_ClimbingGear_DisplayName", "破敗的登山裝備"
"Village!Anna!VLG_Anna_020_GearRepaired_DisplayName", "克里斯托夫的登山裝備"
"Village!Anna!VLG_Anna_030_EnchantedRing_DisplayName", "魔法戒指"
"Village!Anna!VLG_Anna_030_WeddingRing_DisplayName", "訂婚戒指"
"Village!Anna!VLG_Anna_040_BirthdayBook_DisplayName", "肖像集"
"Village!Ariel!VLG_Arie_010_ShippingRecord_DisplayName", "探險記錄"
"Village!Ariel!VLG_Arie_010_StatueFace_DisplayName", "雕像面容"
"Village!Ariel!VLG_Arie_020_DonaldPiece_DisplayName", "雕像碎片"
"Village!Ariel!VLG_Arie_020_ScroogePiece_DisplayName", "雕像碎片"
"Village!Ariel!VLG_Arie_020_StatueFace_DisplayName", "雕像碎片"
"Village!Ariel!VLG_Arie_020_StatuePiece_DisplayName", "雕像碎片"
"Village!Ariel!VLG_Arie_020_SuperGlue_DisplayName", "強力膠"
"Village!Ariel!VLG_Arie_030_Gramophone_DisplayName", "留聲機"
"Village!Ariel!VLG_Arie_030_KitchenWhip_DisplayName", "廚房攪拌器"
"Village!Ariel!VLG_Arie_030_MemoryBrick_DisplayName", "故事書"
"Village!Ariel!VLG_Arie_030_SpinningTop_DisplayName", "旋轉陀螺"
"Village!Ariel!VLG_Arie_040_ChargedTablet_DisplayName", "石板"
"Village!Ariel!VLG_Arie_040_ChargedTabletStep1_DisplayName", "石板"
"Village!Ariel!VLG_Arie_040_ChargedTabletStep2_DisplayName", "石板"
"Village!Ariel!VLG_Arie_040_ChargedTabletStep3_DisplayName", "石板"
"Village!Ariel!VLG_Arie_040_PowerCrystal_DisplayName", "神秘水晶"
"Village!Ariel!VLG_Arie_040_UnchargedTablet_DisplayName", "石板"
"Village!Donald!VLG_Dona_010_BoatBlueprints_Description", "唐老鴨的船的圖紙，可以幫你修理它。"
"Village!Donald!VLG_Dona_010_BoatBlueprints_DisplayName", "唐老鴨船的圖紙"
"Village!Donald!VLG_Dona_010_BoatRepairKit_Description", "裡面有你需要的所有東西，可以幫一隻憤怒的鴨子修理船屋。"
"Village!Donald!VLG_Dona_010_BoatRepairKit_DisplayName", "修船工具"
"Village!Donald!VLG_Dona_010_Mics01_Description", "它就在唐老鴨的小屋裡。誰知道這東西是怎麼來的……"
"Village!Donald!VLG_Dona_010_Mics01_DisplayName", "唐老鴨的獎勵"
"Village!Donald!VLG_Dona_010_Misc02_Description", "它就在唐老鴨的小屋裡。如果你向裡面吹氣，它會發出奇妙的聲音。"
"Village!Donald!VLG_Dona_010_Misc02_DisplayName", "水壺"
"Village!Donald!VLG_Dona_010_Misc03_Description", "它就在唐老鴨的小屋裡。裡面講的是一隻雄赳赳的鴨子的冒險故事。"
"Village!Donald!VLG_Dona_010_Misc03_DisplayName", "唐老鴨的書"
"Village!Donald!VLG_Dona_010_RustyTimeCapsule_Description", "一個帶有唐老鴨筆跡的容器。裡面裝著什麼呢？"
"Village!Donald!VLG_Dona_010_RustyTimeCapsule_DisplayName", "神秘垃圾"
"Village!Donald!VLG_Dona_020_LockedTimeCapsule_Description", "你和唐老鴨一起發現的一個未開封的時間膠囊。"
"Village!Donald!VLG_Dona_020_LockedTimeCapsule_DisplayName", "時間膠囊"
"Village!Donald!VLG_Dona_030_DreamlightEmitter_Description", "強大的魔法權杖，可以收回陷落在「無所不在之地」的某些東西。"
"Village!Donald!VLG_Dona_030_DreamlightEmitter_DisplayName", "夢幻星光放大器"
"Village!Donald!VLG_Dona_030_LockedTimeCapsule_Description", "你無法打開的時間膠囊。"
"Village!Donald!VLG_Dona_030_LockedTimeCapsule_DisplayName", "封住的時間膠囊"
"Village!Donald!VLG_Dona_030_Mechanical01_Description", "這個木箱裡似乎有某種水泵。"
"Village!Donald!VLG_Dona_030_Mechanical01_DisplayName", "木箱"
"Village!Donald!VLG_Dona_030_Mechanical02_DisplayName", "木箱"
"Village!Donald!VLG_Dona_030_Mechanical03_Description", "這個木箱裡有一個盆。看起來像是噴泉的一部分。"
"Village!Donald!VLG_Dona_030_Mechanical03_DisplayName", "木箱"
"Village!Donald!VLG_Dona_030_Mechnical02_Description", "這個木箱裡似乎有某種管道和機械配電器。"
"Village!Donald!VLG_Dona_030_MerlinsRecipe_DisplayName", "梅林的食譜"
"Village!Donald!VLG_Dona_030_MerlinVapor_DisplayName", "氣味擴散器"
"Village!Donald!VLG_Dona_040_FountainParts_Description", "建造噴泉所需的機械部件。"
"Village!Donald!VLG_Dona_040_FountainParts_DisplayName", "噴泉部件"
"Village!Donald!VLG_Dona_040_Journal01_Description", "唐老鴨寫的筆記，寫著他在遺忘之地的營地藏了一些東西。"
"Village!Donald!VLG_Dona_040_Journal01_DisplayName", "唐老鴨的筆記"
"Village!Donald!VLG_Dona_040_MerlinsRecipe_Description", "產生強烈氣味所需的材料清單。"
"Village!Donald!VLG_Dona_040_MerlinVapor_Description", "散發出強烈氣味的燒瓶。"
"Village!Elsa!VLG_Elsa_010_Enchantment01_Description", "你的鎬頭灌注上這種藥劑後，就能敲碎最小的冰塊。"
"Village!Elsa!VLG_Elsa_010_Enchantment01_DisplayName", "暖夏藥劑"
"Village!Elsa!VLG_Elsa_010_PuzzleShard01_DisplayName", "藍色紋章"
"Village!Elsa!VLG_Elsa_020_OpenPickledHerringChest_DisplayName", "阿倫戴爾深腌鯡魚"
"Village!Elsa!VLG_Elsa_020_PickledHerringChest_Description", "你發現這個裝滿阿倫戴爾深腌鯡魚的箱子埋在冰洞附近。"
"Village!Elsa!VLG_Elsa_020_PuzzleShard02_Description", "這個奇怪的東西似乎屬於某種龐然大物。"
"Village!Elsa!VLG_Elsa_020_PuzzleShard02_DisplayName", "紫色紋章"
"Village!Elsa!VLG_Elsa_030_Enchantment02_Description", "你的鎬頭灌注上這種藥劑後，就能敲碎最大的冰塊。"
"Village!Elsa!VLG_Elsa_030_Enchantment02_DisplayName", "冬寒藥劑"
"Village!Elsa!VLG_Elsa_030_PuzzleShard03_Description", "這個奇怪的東西似乎屬於某種龐然大物。"
"Village!Elsa!VLG_Elsa_030_PuzzleShard03_DisplayName", "橙色紋章"
"Village!Elsa!VLG_Elsa_040_Gown_Description", "你從神秘洞穴裡深埋的冰霜寶藏裡找到了這件長袍。"
"Village!Elsa!VLG_Elsa_040_Gown_DisplayName", "艾莎的長袍"
"Village!Elsa!VLG_Elsa_040_PuzzleShard04_Description", "這個奇怪的東西似乎屬於某種龐然大物。"
"Village!Elsa!VLG_Elsa_040_PuzzleShard04_DisplayName", "綠色紋章"
"Village!Eric!VLG_Eric_010_Flute_DisplayName", "亞力克的長笛"
"Village!Eric!VLG_Eric_020_Enchantment_DisplayName", "變形魔藥"
"Village!Eric!VLG_Eric_020_NautilusPendant_DisplayName", "鸚鵡螺吊墜"
"Village!Eric!VLG_Eric_030_CurrentsMap_DisplayName", "海圖"
"Village!Eric!VLG_Eric_030_DemagnetizeCompass_DisplayName", "損壞的羅盤"
"Village!Eric!VLG_Eric_030_Magnet_DisplayName", "夢幻星光磁鐵"
"Village!Eric!VLG_Eric_030_MagnetizeCompass_DisplayName", "水手羅盤"
"Village!Eric!VLG_Eric_030_TradeMaps_DisplayName", "海圖"
"Village!Eric!VLG_Eric_040_AtlantisCompass_DisplayName", "神秘羅盤"
"Village!Eric!VLG_Eric_040_Compass_DisplayName", "水手羅盤"
"Village!Eric!VLG_Eric_040_CrystallExtract_DisplayName", "梅林的魔法物品"
"Village!Eric!VLG_Eric_040_RuinPiece_DisplayName", "奇怪的神器"
"Village!Kristoff!VLG_Kris_010_BurnedLogs_DisplayName", "燒過的原木"
"Village!Kristoff!VLG_Kris_010_CarrotSoap_DisplayName", "胡蘿蔔肥皂"
"Village!Kristoff!VLG_Kris_020_AnnasTears_DisplayName", "安娜的頭髮"
"Village!Kristoff!VLG_Kris_020_ColdWater_DisplayName", "沼澤水"
"Village!Kristoff!VLG_Kris_020_IceShard_DisplayName", "碎冰"
"Village!Kristoff!VLG_Kris_030_StallTinkeringParts_DisplayName", "高飛的部分貨攤"
"Village!Kristoff!VLG_Kris_040_BrokenSleigh_DisplayName", "克里斯托夫的破損雪橇"
"Village!Kristoff!VLG_Kris_040_SleighPlans_DisplayName", "《冰雪一本通：如何修復你的雪橇》"
"Village!Maui!VLG_Maui_010_EelForFishing_DisplayName", "鰻魚"
"Village!Maui!VLG_Maui_010_Worm_DisplayName", "蠕蟲"
"Village!Maui!VLG_Maui_020_SandstoneShard_DisplayName", "損壞的砂巖"
"Village!Maui!VLG_Maui_020_TikiTorch_DisplayName", "提基火炬"
"Village!Maui!VLG_Maui_020_WhaleTeeth_DisplayName", "刮痧石"
"Village!Maui!VLG_Maui_030_Ink_DisplayName", "黑色墨水"
"Village!Maui!VLG_Maui_030_Kite_DisplayName", "風箏"
"Village!Maui!VLG_Maui_030_Limestone_DisplayName", "石灰巖"
"Village!Maui!VLG_Maui_040_ActiveHeart_DisplayName", "修復的夢幻星谷之心"
"Village!Maui!VLG_Maui_040_AlbinoTunaScale_DisplayName", "白化鮪魚魚鱗"
"Village!Maui!VLG_Maui_040_CrystalVial_DisplayName", "水晶瓶"
"Village!Maui!VLG_Maui_040_DarkMountainWater_DisplayName", "遺忘之地的水"
"Village!Maui!VLG_Maui_040_HeartDreamlightValley_DisplayName", "夢幻星谷之心"
"Village!Maui!VLG_Maui_040_HeartFragment1_DisplayName", "乾淨的石灰巖"
"Village!Maui!VLG_Maui_040_HeartFragment2_DisplayName", "夢幻星谷之心碎片"
"Village!Maui!VLG_Maui_040_TundraWater_DisplayName", "霜寒高地的水"
"Village!Merlin!VLG_Merl_030_MerlinSample_DisplayName", "梅林的樣本"
"Village!Merlin!VLG_Merl_070_Enchantment_DisplayName", "皇家灑水壺升級藥膏"
"Village!Merlin!VLG_Merl_070_FallingWater_DisplayName", "流水"
"Village!Merlin!VLG_Merl_070_FrozenHeart_DisplayName", "冰心"
"Village!Merlin!VLG_Merl_070_MerlinBook02_DisplayName", "魔草清理"
"Village!Merlin!VLG_Merl_070_NighShardPowder_DisplayName", "夜之碎片粉末"
"Village!Merlin!VLG_Merl_070_NightShard_DisplayName", "神秘碎片"
"Village!Mickey!VLG_Mick_030_MemoryOfMinnie_DisplayName", "米妮的記憶"
"Village!Mickey!VLG_Mick_040_EmitterDevice_DisplayName", "夢幻星光放大器"
"Village!Mickey!VLG_Mick_050_CastleStorageKey_DisplayName", "城堡秘密倉庫的鑰匙"
"Village!Minnie!VLG_Minn_010_FlowerPot_DisplayName", "米妮的特別花盆"
"Village!Minnie!VLG_Minn_010_FlowerPotWithFlowers_DisplayName", "米妮的花束"
"Village!Minnie!VLG_Minn_020_BackpackGift_DisplayName", "包裝精美的禮物"
"Village!Minnie!VLG_Minn_020_BeastMirror_DisplayName", "魔法鏡子"
"Village!Minnie!VLG_Minn_020_DreamlightMagnifier_DisplayName", "夢幻星光放大器"
"Village!Minnie!VLG_Minn_040_DamagedClubBanner_DisplayName", "老破旗幟"
"Village!Minnie!VLG_Minn_040_EmptyVial_DisplayName", "空瓶子"
"Village!Minnie!VLG_Minn_040_RedDye_DisplayName", "紅色染料"
"Village!Moana!VLG_Moan_010_StarPiece01_DisplayName", "奇怪的閃光碎片"
"Village!Moana!VLG_Moan_020_Flower_DisplayName", "莫阿娜的花"
"Village!Moana!VLG_Moan_020_Oar_DisplayName", "船槳"
"Village!Moana!VLG_Moan_020_StarPiece02_DisplayName", "領袖碎片"
"Village!Moana!VLG_Moan_030_StarPiece03_DisplayName", "領袖碎片"
"Village!Moana!VLG_Moan_040_StarPiece04_DisplayName", "領袖碎片"
"Village!Moana!VLG_Moan_050_Basket_DisplayName", "籃子"
"Village!Moana!VLG_Moan_060_ConchSeashell_DisplayName", "海螺"
"Village!Moana!VLG_Moan_060_StarPieceAltar_DisplayName", "領袖碎片"
"Village!MotherGothel!VLG_Moth_010_Chest01_Description", "史高治說，這個寶箱裡有葛索媽媽正在找的太陽捲軸。"
"Village!MotherGothel!VLG_Moth_010_Chest01_DisplayName", "史高治的上鎖寶箱"
"Village!MotherGothel!VLG_Moth_010_Component01_DisplayName", "電子元件箱"
"Village!MotherGothel!VLG_Moth_010_Key01_Description", "俗話怎麼說的來著，「一把鑰匙配一把鎖……」？"
"Village!MotherGothel!VLG_Moth_010_Key01_DisplayName", "史高治的鑰匙"
"Village!MotherGothel!VLG_Moth_010_SunstoneScroll_DisplayName", "太陽捲軸"
"Village!MotherGothel!VLG_Moth_010_SunstonScroll_Description", "你讀不懂捲軸上的神秘文字。"
"Village!MotherGothel!VLG_Moth_020_MagicSap_Description", "葛索媽媽給了你這瓶帶有夢幻星谷能量的魔法汁液。"
"Village!MotherGothel!VLG_Moth_020_MagicSap_DisplayName", "森林魔法汁"
"Village!MotherGothel!VLG_Moth_020_SunlightTorchDusk_Description", "傳說中的魔法火炬，據說能給永恒的黑暗王國帶來光明。"
"Village!MotherGothel!VLG_Moth_020_SunlightTorches_DisplayName", "陽光火炬"
"Village!MotherGothel!VLG_Moth_030_SunstoneDawn_Description", "你在清晨的日照高原找到了這塊太陽石碎片。"
"Village!MotherGothel!VLG_Moth_030_SunstoneFragDawn_DisplayName", "黎明碎片"
"Village!MotherGothel!VLG_Moth_030_SunstoneFragDusk_Description", "你在夜晚的勇氣森林找到了這塊太陽石碎片。"
"Village!MotherGothel!VLG_Moth_030_SunstoneFragDusk_DisplayName", "黃昏碎片"
"Village!MotherGothel!VLG_Moth_030_SunstoneFragNoon_Description", "你在正午的信仰林地找到了這塊太陽石碎片。"
"Village!MotherGothel!VLG_Moth_030_SunstoneFragNoon_DisplayName", "正午碎片"
"Village!MotherGothel!VLG_Moth_040_ActivatedSunstoneNoon_Description", "安全起見，恢復的所有太陽石碎片都裝在了這個包裡。"
"Village!MotherGothel!VLG_Moth_040_BundleOfFragments_DisplayName", "閃光碎片包"
"Village!MotherGothel!VLG_Moth_040_CompleteSunstone_Description", "多虧了你的努力，太陽石又完整如初了。"
"Village!MotherGothel!VLG_Moth_040_CompleteSunstone_DisplayName", "太陽石"
